"","PredictorA","PredictorB","Class","Case"
"1",742.115646258504,68.7833796646467,"PS","Test"
"2",3278.72562358277,154.898761331431,"PS","Train"
"3",1727.410430839,84.5645983118383,"WS","Train"
"4",1194.93197278912,101.091070498039,"PS","Train"
"5",1140.42630385488,86.466697554209,"PS","Test"
"6",691.802721088436,49.5367947944419,"WS","Test"
"7",708.573696145125,50.3849463745392,"WS","Test"
"8",1006.25850340136,89.9320637772223,"PS","Test"
"9",1983.16780045352,111.753241526183,"WS","Test"
"10",1538.73696145125,96.0749209200794,"WS","Test"
"11",1698.0612244898,80.9963340477369,"WS","Test"
"12",1027.22222222222,68.7106197620226,"WS","Train"
"13",947.560090702948,98.8979316451716,"PS","Test"
"14",750.501133786848,54.8315003572018,"PS","Test"
"15",1035.60770975057,73.4055915910215,"PS","Train"
"16",1433.91836734694,79.4756888312545,"PS","Train"
"17",633.104308390023,67.3656324892525,"PS","Train"
"18",1253.63038548753,72.2061241234998,"WS","Test"
"19",1262.01587301587,67.014316601828,"WS","Train"
"20",3048.12471655329,138.693466894191,"PS","Test"
"21",628.91156462585,59.4235741451127,"PS","Test"
"22",4243.0566893424,135.549278420138,"PS","Test"
"23",985.2947845805,61.9680288854046,"WS","Train"
"24",712.766439909297,88.2357606170277,"PS","Test"
"25",893.054421768708,56.7762213637328,"WS","Train"
"26",775.657596371882,57.2002971537814,"WS","Test"
"27",1375.21995464853,74.326503073743,"WS","Test"
"28",905.632653061225,97.201628484977,"PS","Test"
"29",1106.8843537415,74.0053253247824,"PS","Test"
"30",3236.79818594104,185.934224794678,"WS","Train"
"31",1756.75963718821,86.4365594157451,"PS","Train"
"32",2582.73015873016,239.287701699557,"WS","Test"
"33",691.802721088436,53.0322991559191,"WS","Train"
"34",691.802721088436,59.7748900325372,"PS","Test"
"35",1006.25850340136,64.0156479330236,"PS","Test"
"36",683.417233560091,62.1436868291168,"PS","Train"
"37",1727.410430839,141.692135562995,"PS","Train"
"38",679.224489795919,53.0322991559191,"PS","Train"
"39",813.392290249433,82.5169792642192,"PS","Test"
"40",1291.36507936508,69.3103534957835,"WS","Test"
"41",620.526077097506,62.6706606602535,"PS","Test"
"42",1211.70294784581,98.7950336040835,"PS","Train"
"43",2331.16553287982,216.515474329411,"PS","Train"
"44",1555.50793650794,128.80668754352,"PS","Test"
"45",1496.80952380952,95.8992629763672,"PS","Train"
"46",955.945578231293,83.5407887880287,"PS","Train"
"47",1111.07709750567,68.3593038745981,"WS","Test"
"48",1584.85714285714,86.6849772620815,"WS","Train"
